de3f51e,yuan0173,3 hours ago,feat(api): handle base64 images by saving to uploads and storing relative paths (#33)
26714f1,Jia0318,5 hours ago,Fix: removed accidentally nested COMP9030-Assignment repo (#32)
e08a557,lyu0061,11 hours ago,docs(AI -acknowledgement) Add AI-acknowledgement md file. (#31)
66f282a,lyu0061,14 hours ago,feat(contact) add warnings to contact page when users forget to enter details (#30)
d023c1a,enpyth,35 hours ago,Merge pull request #29 from yuan0173/feat/lyu0061/Add-no-file-warning
0d48099,Cong Lyu,2 days ago,feat(submission) Add one more warning when users try to submit without selecting a file
c505920,enpyth,2 days ago,Merge pull request #28 from yuan0173/feat/lyu0061/Add-friendly-error-warnings
509a5d0,Cong Lyu,2 days ago,feat(submission) Add warnings on submission page
bb1b4dd,lyu0061,2 days ago,feat(registration.js) Add warning prompts for registration (#27)
9ff3f50,yuan0173,3 days ago,feat(cycle3): full-stack HD deliverables (PDO CRUD, versions, SSR, auth, geocoding, validation) (#26)
c283b30,yuan0173,4 weeks ago,cycle2.reprot
24aaebb,yuan0173,4 weeks ago,feat(cycle2): enhance mock data with   comprehensive image integration and create AI   acknowledgement
64498cf,yuan0173,4 weeks ago,feat(cycle2): Complete artwork (#25)
23abb48,lyu0061,4 weeks ago,docs(AI-acknowledgement.md) Add AI prompt and output (#23)
b4d455d,Jia0318,4 weeks ago,Jia0318/cycle2 css (#22)
12989db,yuan0173,4 weeks ago,chore: update .gitignore for cycle2 (#21)
ed73fee,Jia0318,4 weeks ago,Jia0318/cycle2 css (#20)
447c358,lyu0061,5 weeks ago,feat(AdminLogIn) Create Admin Log In page (#18)
05c37d3,enpyth,5 weeks ago,Fix/zhan2621/cycle2 js (#19)
9afaac2,enpyth,5 weeks ago,feat: add js for art and user pages (#17)
3d626d0,Jia0318,5 weeks ago,css: implement cycle2 css styling and all pages (#16)
c5dbc01,lyu0061,5 weeks ago,feat(Pages) Create two of the required pages (#15)
1800d1f,yuan0173,7 weeks ago,chore(c1): add commit log for cycle1 (by yuan0173) (#14)
6eb103a,yuan0173,7 weeks ago,Fix image filename: rename Sitemap.png to sitemap.png (#13)
25224ad,yuan0173,7 weeks ago,Final Submission: Cycle 1 UX Report (HF City Team 5) (#12)
eff6a35,enpyth,7 weeks ago,docs: update wireframes image from draft to cycle1 (#11)
062ad4e,lyu0061,7 weeks ago,docs(HF-City-Team5-Cycle1-Report) Put all the flows under /c1-c4/cycle1/imgs and update the paths in report (#10)
adfaae9,enpyth,7 weeks ago,docs: add ArtListings and ArtDetails wireframes with description (#8)
39b8bf2,enpyth,7 weeks ago,docs: add wireframe of art submission (#9)
34c9418,enpyth,7 weeks ago,docs: add wireframe of homepage and login pages (#6)
cb78e6a,lyu0061,7 weeks ago,Docs/lyu0061/update-user-tasks-and-flows (#7)
29d4e1f,Jia0318,7 weeks ago,Feature/jia0318 cycle1 report (#5)
7ae15b6,lyu0061,7 weeks ago,docs(HF-City-Team5-Cycle1-Report) Update 5 tasks in part 2 Key User Tasks and Flows (#4)
f8d7062,lyu0061,7 weeks ago,feat(drafts): Create a new folder c1 under drafts and add new user flows Images (#3)
85f7a92,Jia0318,7 weeks ago,(HF-City-Team5-Cycle1-Report.md) update personas section (#2)
3891768,yuan0173,8 weeks ago,Merge pull request #1 from yuan0173/feature/yuan0173-cycle1-report
fe7f4db,yuan0173,8 weeks ago,Add Cycle 1 Report for HF City Team 5 (by yuan0173)
efb5aa4,yuan0173,8 weeks ago,Remove .DS_Store from project-docs
824b7e6,yuan0173,8 weeks ago,Ignore all .DS_Store files
52e402b,yuan0173,8 weeks ago,Add .gitkeep to retain empty documentation folders
4ed83dd,yuan0173,8 weeks ago,Initial commit
